stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,1.559999,V,5.400000,-5.900000,1.559999,onboard,6,0.013467167,0.014859434,0.000196486,0.000163254,0.000323120
qtp,p,1.579999,V,5.400000,-5.900000,1.579999,onboard,6,0.013275334,0.014776010,0.000218066,0.000184472,0.000298959
qtp,p,1.599999,V,5.400000,-5.900000,1.599999,onboard,6,0.013109944,0.014680579,0.000214218,0.000226564,0.000272364
qtp,p,1.619999,V,5.400000,-5.900000,1.619999,onboard,6,0.012974344,0.014561105,0.000228900,0.000230143,0.000245487
qtp,p,1.639999,V,5.400000,-5.900000,1.639999,onboard,6,0.012886956,0.014404264,0.000225696,0.000235670,0.000216354
qtp,p,1.659999,V,5.400000,-5.900000,1.659999,onboard,6,0.012740162,0.014276040,0.000271176,0.000237167,0.000191936
qtp,p,1.679999,V,5.400000,-5.900000,1.679999,onboard,6,0.012538362,0.014187690,0.000315314,0.000252093,0.000167467
qtp,p,1.699999,V,5.400000,-5.900000,1.699999,onboard,6,0.012383893,0.014090423,0.000305969,0.000304152,0.000141585
qtp,p,1.719999,V,5.400000,-5.900000,1.719999,onboard,6,0.012249521,0.013970467,0.000330799,0.000300881,0.000115384
qtp,p,1.739999,V,5.400000,-5.900000,1.739999,onboard,6,0.012163715,0.013814094,0.000320039,0.000301913,0.000093288
qtp,p,1.759999,V,5.400000,-5.900000,1.759999,onboard,6,0.012031014,0.013686246,0.000381252,0.000300315,0.000070972
qtp,p,1.779999,V,5.400000,-5.900000,1.779999,onboard,6,0.011820994,0.013582856,0.000399687,0.000340594,0.000038762
qtp,p,1.799999,V,5.400000,-5.900000,1.799999,onboard,6,0.011668799,0.013490659,0.000411946,0.000381006,0.000008689
qtp,p,1.819999,V,5.400000,-5.900000,1.819999,onboard,6,0.011531945,0.013386472,0.000426199,0.000378973,-0.000016892
qtp,p,1.839999,V,5.400000,-5.900000,1.839999,onboard,6,0.011437579,0.013231990,0.000428063,0.000381180,-0.000038759
qtp,p,1.859999,V,5.400000,-5.900000,1.859999,onboard,6,0.011285775,0.013096213,0.000473382,0.000378621,-0.000066144
qtp,p,1.879999,V,5.400000,-5.900000,1.879999,onboard,6,0.011098742,0.013007924,0.000480325,0.000413017,-0.000085123
qtp,p,1.899999,V,5.400000,-5.900000,1.899999,onboard,6,0.010945997,0.012913324,0.000502410,0.000443272,-0.000110480
qtp,p,1.919999,V,5.400000,-5.900000,1.919999,onboard,6,0.010812216,0.012809557,0.000518682,0.000445196,-0.000139105
qtp,p,1.939999,V,5.400000,-5.900000,1.939999,onboard,6,0.010710205,0.012654576,0.000521886,0.000458547,-0.000167771
qtp,p,1.959999,V,5.400000,-5.900000,1.959999,onboard,6,0.010566138,0.012537692,0.000568357,0.000463082,-0.000189707
qtp,p,1.979999,V,5.400000,-5.900000,1.979999,onboard,6,0.010377269,0.012426737,0.000589755,0.000493951,-0.000210183
qtp,p,1.999999,V,5.400000,-5.900000,1.999999,onboard,6,0.010216526,0.012331263,0.000595312,0.000528978,-0.000230272
qtp,p,2.019999,V,5.400000,-5.900000,2.019999,onboard,6,0.010079713,0.012224876,0.000615386,0.000520165,-0.000252550
qtp,p,2.039999,V,5.400000,-5.900000,2.039999,onboard,6,0.010000529,0.012090414,0.000612294,0.000526975,-0.000277237
qtp,p,2.059999,V,5.400000,-5.900000,2.059999,onboard,6,0.009854516,0.011971842,0.000657091,0.000538987,-0.000297549
qtp,p,2.079999,V,5.400000,-5.900000,2.079999,onboard,6,0.009675898,0.011871590,0.000677908,0.000551399,-0.000317124
qtp,p,2.099999,V,5.400000,-5.900000,2.099999,onboard,6,0.009511672,0.011768442,0.000671794,0.000588630,-0.000348189
qtp,p,2.119999,V,5.400000,-5.900000,2.119999,onboard,6,0.009390465,0.011661515,0.000687577,0.000590786,-0.000377570
qtp,p,2.139999,V,5.400000,-5.900000,2.139999,onboard,6,0.009290102,0.011533804,0.000684018,0.000598462,-0.000400445
qtp,p,2.159999,V,5.400000,-5.900000,2.159999,onboard,6,0.009169907,0.011424909,0.000723388,0.000607950,-0.000417470
qtp,p,2.179999,V,5.400000,-5.900000,2.179999,onboard,6,0.008981708,0.011322086,0.000730076,0.000633924,-0.000440854
qtp,p,2.199999,V,5.400000,-5.900000,2.199999,onboard,6,0.008832840,0.011227868,0.000743684,0.000666857,-0.000469735
